file,kind,rows,columns
(export),provenance,P08,"27 trials (27 analyzed), 810 events (810 valid); exported 2026-08-05T17:18:48"
P08_confusion_counts.png / P08_confusion_counts.svg,figure,,
P08_confusion_paper.png / P08_confusion_paper.svg,figure,,
P08_confusion_rownorm.png / P08_confusion_rownorm.svg,figure,,
P08_difficulty.png / P08_difficulty.svg,figure,,
P08_errors_composition.png / P08_errors_composition.svg,figure,,
P08_errors_counts.png / P08_errors_counts.svg,figure,,
P08_errors_wrongkey_distance.png / P08_errors_wrongkey_distance.svg,figure,,
P08_finger_benefit.png / P08_finger_benefit.svg,figure,,
P08_finger_benefit_dispersion.png / P08_finger_benefit_dispersion.svg,figure,,
P08_finger_benefit_estimators.png / P08_finger_benefit_estimators.svg,figure,,
P08_fingers_accuracy.png / P08_fingers_accuracy.svg,figure,,
P08_fingers_homologous.png / P08_fingers_homologous.svg,figure,,
P08_fingers_rt_boxplot.png / P08_fingers_rt_boxplot.svg,figure,,
P08_learning_difficulty_progression_key_accuracy.png / P08_learning_difficulty_progression_key_accuracy.svg,figure,,
P08_learning_difficulty_progression_rt.png / P08_learning_difficulty_progression_rt.svg,figure,,
P08_learning_session.png / P08_learning_session.svg,figure,,
P08_learning_session_position.png / P08_learning_session_position.svg,figure,,
P08_learning_withincell.png / P08_learning_withincell.svg,figure,,
P08_overview.png / P08_overview.svg,figure,,
P08_quality_audit.png / P08_quality_audit.svg,figure,,
P08_quality_threshold_sensitivity.png / P08_quality_threshold_sensitivity.svg,figure,,
P08_timing_rt_distributions.png / P08_timing_rt_distributions.svg,figure,,
P08_tradeoff.png / P08_tradeoff.svg,figure,,
P08_confusion_long.csv,table,92,"condition, target_finger, actual_finger, count"
P08_difficulty_cell_metrics.csv,table,9,"participant, condition, level, n_trials, n_analyzed, key_accuracy, fa_main, fa_given_key, rt_correct_key_s, rt_complete_s"
P08_error_breakdown.csv,table,18,"condition, category, count"
P08_error_proportions.csv,table,18,"participant, condition, category, count, n_events, proportion"
P08_finger_benefit_cells.csv,table,5,"participant, finger_id, baseline, cued, benefit, average"
P08_finger_benefit_dispersion.csv,table,2,"participant, condition, mean, sd_raw, sd_corrected, range, cv_raw, cv_corrected, mean_cell_sem, n_fingers"
P08_finger_benefit_estimators.csv,table,15,"participant, finger_id, x, y, estimator"
P08_fingers_by_target_finger.csv,table,30,"condition, target_finger, n, n_judged, fa, rt_s"
P08_fingers_homologous_cells.csv,table,15,"participant, condition, finger_id, n, n_left, n_right, n_judged, fa, rt_s, n_rt_complete, rt_complete_s"
P08_learning_difficulty_progression_summary.csv,table,108,"level, level_symbol, difficulty_occurrence, metric, n, mean, sd, sem, ci95_lo, ci95_hi"
P08_learning_difficulty_progression_trials.csv,table,27,"participant, level, level_symbol, difficulty_occurrence, session_position, condition, rt_correct_key_s_raw, rt_correct_key_s_adjusted, key_accuracy_raw, key_accuracy_adjusted"
P08_learning_repetition_by_condition.csv,table,6,"participant, condition, repetition, fa_main, rt_correct_key_s"
P08_learning_session_position.csv,table,18,"participant, position, condition, level, fa_main_raw, fa_main_adjusted, rt_correct_key_s_raw, rt_correct_key_s_adjusted"
P08_learning_within_cell_repetition.csv,table,27,"participant, condition, level, repetition, fa_main, rt_correct_key_s"
P08_overview_cell_metrics.csv,table,9,"participant, condition, level, n_trials, n_analyzed, key_accuracy, fa_main, fa_given_key, rt_correct_key_s, rt_complete_s"
P08_overview_condition_metrics.csv,table,3,"participant, condition, n_trials, n_analyzed, key_accuracy, fa_main, fa_given_key, rt_correct_key_s, rt_complete_s"
P08_quality_audit.csv,table,1,"participant, n_trials, n_analyzed, n_events, n_valid_events, excluded_carryover, suspected_carryover, manual_corrections, unresolved_rate, ambiguous_rate, borderline_events, qc_extra_presses, sync_methods"
P08_quality_threshold_sensitivity.csv,table,10,"participant, condition, theta, fa, n_trials, n_events, source"
P08_timing_rt_summary.csv,table,3,"condition, n_events, median_ms, mean_ms, sd_ms, min_ms, p95_ms, max_ms"
P08_tradeoff_centroids.csv,table,3,"condition, n, rt_ms, fa_pct, rt_sd_ms, fa_sd_pct"
P08_tradeoff_trials.csv,table,27,"participant, condition, trial_index, level, sequence, rt_ms, fa_pct, included"
P08_wrongkey_distance.csv,table,3,"participant, condition, trial_index, event_index, distance, metric"
P08_wrongkey_distance_summary.csv,table,2,"condition, n, median, mean, max, metric"
